epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.45793,2.23505,4.25746,2.05857,0.00095,0.10096,0.03457,0.01757,2.1495,4.03204,2.10144,6.25e-05,6.25e-05,6.25e-05
2,6.22776,2.12438,4.01576,1.92184,0.00123,0.16346,0.0818,0.04204,2.05605,3.94091,2.00898,0.000135231,0.000135231,0.000135231
3,8.08419,2.12683,3.72167,1.86491,0.00261,0.29754,0.10159,0.04331,2,3.78779,1.83152,0.000205487,0.000205487,0.000205487
4,10.709,2.04365,3.39268,1.76303,0.00572,0.44376,0.09227,0.03631,2.00707,3.62111,1.74353,0.000273269,0.000273269,0.000273269
5,12.6569,2.07463,3.19497,1.76577,0.00793,0.5596,0.13707,0.06309,2.0558,3.51654,1.78882,0.000338575,0.000338575,0.000338575
6,14.3458,2.15589,3.08342,1.77684,0.00679,0.45543,0.13225,0.05396,2.08888,3.63323,1.93499,0.000401406,0.000401406,0.000401406
7,15.916,1.99508,2.91458,1.68503,0.00702,0.52053,0.12558,0.03053,2.10196,3.59229,1.98902,0.000461763,0.000461763,0.000461763
8,17.7043,1.92355,2.87947,1.67236,0.00633,0.35844,0.1807,0.10059,2.03276,3.62703,2.02275,0.000519644,0.000519644,0.000519644
9,19.3656,2.05024,2.82006,1.7508,0.3449,0.10972,0.20213,0.11094,2.01926,3.31825,1.88978,0.00057505,0.00057505,0.00057505
10,21.0508,1.98506,2.80102,1.70382,0.3867,0.06603,0.20151,0.08921,2.14048,3.14016,1.94552,0.000627981,0.000627981,0.000627981
11,23.5885,1.9301,2.74827,1.68374,0.18832,0.414,0.21291,0.10242,2.05645,3.00312,1.86197,0.000678438,0.000678438,0.000678438
12,25.6362,1.94532,2.71907,1.698,0.51781,0.07182,0.17055,0.07708,2.04401,2.94286,1.8625,0.000726419,0.000726419,0.000726419
13,27.2927,1.9482,2.65038,1.66875,0.35646,0.08135,0.18243,0.08072,2.06045,2.88759,1.92737,0.000771925,0.000771925,0.000771925
14,28.9359,1.82572,2.64546,1.60239,0.56983,0.15377,0.20591,0.10374,2.07542,2.93782,2.01453,0.000814956,0.000814956,0.000814956
15,30.5875,1.74556,2.50457,1.58309,0.70144,0.13988,0.2138,0.11128,1.98382,2.82917,1.87329,0.000855512,0.000855512,0.000855512
16,32.3566,1.74776,2.42294,1.56138,0.25557,0.30869,0.23179,0.13003,1.98406,2.75438,1.87229,0.000893594,0.000893594,0.000893594
17,33.9628,1.66164,2.27055,1.50364,0.31817,0.25176,0.25514,0.14612,1.93232,2.84111,1.82355,0.00092,0.00092,0.00092
18,36.5383,1.72678,2.42618,1.51588,0.64838,0.16445,0.24224,0.15378,1.96572,2.89281,1.75494,0.000899375,0.000899375,0.000899375
19,38.4968,1.67194,2.31817,1.5325,0.51313,0.16445,0.22401,0.13278,1.96878,2.85326,1.72507,0.00087875,0.00087875,0.00087875
20,40.2195,1.74825,2.382,1.57656,0.30203,0.26603,0.24922,0.1512,1.90259,2.66977,1.71861,0.000858125,0.000858125,0.000858125
21,41.7384,1.74719,2.30702,1.54256,0.30358,0.22672,0.26822,0.15826,1.90661,2.59717,1.72537,0.0008375,0.0008375,0.0008375
22,43.4791,1.69311,2.3295,1.55624,0.43831,0.22531,0.29392,0.16805,1.95025,2.77755,1.80853,0.000816875,0.000816875,0.000816875
23,45.2417,1.69395,2.19804,1.54428,0.32769,0.26107,0.29994,0.1643,2.03346,2.66351,1.87543,0.00079625,0.00079625,0.00079625
